C;() C is the third letter of the English alphabet. It is from the Latin letter C, which in old Latin represented the sounds of k, and g (in go); its original value being the latter. In Anglo-Saxon words, or Old English before the Norman Conquest, it always has the sound of k. The Latin C was the same letter as the Greek /, /, and came from the Greek alphabet. The Greeks got it from the Ph/nicians. The English name of C is from the Latin name ce, and was derived, probably, through the French. Etymologically C is related to g, h, k, q, s (and other sibilant sounds). Examples of these relations are in L. acutus, E. acute, ague; E. acrid, eager, vinegar; L. cornu, E. horn; E. cat, kitten; E. coy, quiet; L. circare, OF. cerchier, E. search.
C;() The keynote of the normal or natural scale, which has neither flats nor sharps in its signature; also, the third note of the relative minor scale of the same.
C;() C after the clef is the mark of common time, in which each measure is a semibreve (four fourths or crotchets); for alla breve time it is written /.
Caecias;(n.) A wind from the northeast.
Caecilian;(n.) A limbless amphibian belonging to the order Caeciliae or Ophimorpha. See Ophiomorpha.
Caecums;(pl. ) of Caecum
Caeca;(pl. ) of Caecum
Caecum;(n.) A cavity open at one end, as the blind end of a canal or duct.
Caecum;(n.) The blind part of the large intestine beyond the entrance of the small intestine
Caenozoic;(a.) See Cenozoic.
Caenstone;() A cream-colored limestone for building, found near Caen, France.
Caesar;(n.) A Roman emperor, as being the successor of Augustus Caesar. Hence, a kaiser, or emperor of Germany, or any emperor or powerful ruler. See Kaiser, Kesar.
Caesarean;(a.) Alt. of Caesarian
Caesarian;(a.) Of or pertaining to Caesar or the Caesars
Caesarism;(n.) A system of government in which unrestricted power is exercised by a single person, to whom, as Caesar or emperor, it has been committed by the popular will; imperialism; also, advocacy or support of such a system of government.
Caesious;(a.) Of the color of lavender
Caesium;(n.) A rare alkaline metal found in mineral water; -- so called from the two characteristic blue lines in its spectrum. It was the first element discovered by spectrum analysis, and is the most strongly basic and electro-positive substance known. Symbol Cs. Atomic weight 132.6.
Caespitose;(a.) Same as Cespitose.
Caesuras;(pl. ) of Caesura
Caesurae;(pl. ) of Caesura
Caesura;(n.) A metrical break in a verse, occurring in the middle of a foot and commonly near the middle of the verse; a sense pause in the middle of a foot. Also, a long syllable on which the caesural accent rests, or which is used as a foot.
Caesural;(a.) Of or pertaining to a caesura.
Cafe;(n.) A coffeehouse; a restaurant; also, a room in a hotel or restaurant where coffee and liquors are served.
Cafenet;(n.) Alt. of Cafeneh
Cafeneh;(n.) A humble inn or house of rest for travelers, where coffee is sold.
Caffeic;(a.) Pertaining to, or obtained from, coffee.
Caffeine;(n.) A white, bitter, crystallizable substance, obtained from coffee. It is identical with the alkaloid theine from tea leaves, and with guaranine from guarana.
Caffetannic;(a.) Pertaining to, or derived from, the tannin of coffee.
Caffila;(n.) See Cafila.
Caffre;(n.) See Kaffir.
Cafila;(n.) Alt. of Cafileh
Cafileh;(n.) A caravan of travelers
Caftan;(n.) A garment worn throughout the Levant, consisting of a long gown with sleeves reaching below the hands. It is generally fastened by a belt or sash.
Caftan;(v. t.) To clothe with a caftan.
Cag;(n.) See Keg.
Cage;(n.) A box or inclosure, wholly or partly of openwork, in wood or metal, used for confining birds or other animals.
Cage;(n.) A place of confinement for malefactors
Cage;(n.) An outer framework of timber, inclosing something within it; as, the cage of a staircase.
Cage;(n.) A skeleton frame to limit the motion of a loose piece, as a ball valve.
Cage;(n.) A wirework strainer, used in connection with pumps and pipes.
Cage;(n.) The box, bucket, or inclosed platform of a lift or elevator; a cagelike structure moving in a shaft.
Cage;(n.) The drum on which the rope is wound in a hoisting whim.
Cage;(n.) The catcher's wire mask.
Caged;(imp. & p. p.) of Cage
Caging;(p. pr. & vb. n.) of Cage
Cage;(v. i.) To confine in, or as in, a cage; to shut up or confine.
Caged;(a.) Confined in, or as in, a cage; like a cage or prison.
Cageling;(n.) A bird confined in a cage
Cagit;(n.) A kind of parrot, of a beautiful green color, found in the Philippine Islands.
Cagmag;(n.) A tough old goose; hence, coarse, bad food of any kind.
Cagot;(n.) One of a race inhabiting the valleys of the Pyrenees, who until 1793 were political and social outcasts (Christian Pariahs). They are supposed to be a remnant of the Visigoths.
Cahier;(n.) A number of sheets of paper put loosely together
Cahier;(n.) A memorial of a body; a report of legislative proceedings, etc.
Cahincic;(a.) Pertaining to, or derived from, cahinca, the native name of a species of Brazilian Chiococca, perhaps C. racemosa; as, cahincic acid.
Cahoot;(n.) Partnership; as, to go in cahoot with a person.
Caimacam;(n.) The governor of a sanjak or district in Turkey.
Caiman;(n.) See Cayman.
Cainozoic;(a.) See Cenozic.
Caique;(n.) A light skiff or rowboat used on the Bosporus; also, a Levantine vessel of larger size.
Caira;() The refrain of a famous song of the French Revolution.
Caird;(n.) A traveling tinker
Cairn;(n.) A rounded or conical heap of stones erected by early inhabitants of the British Isles, apparently as a sepulchral monument.
Cairn;(n.) A pile of stones heaped up as a landmark, or to arrest attention, as in surveying, or in leaving traces of an exploring party, etc.
Cairngormstone;() A yellow or smoky brown variety of rock crystal, or crystallized quartz, found esp, in the mountain of Cairngorm, in Scotland.
Caisson;(n.) A chest to hold ammunition.
Caisson;(n.) A four-wheeled carriage for conveying ammunition, consisting of two parts, a body and a limber. In light field batteries there is one caisson to each piece, having two ammunition boxes on the body, and one on the limber.
Caisson;(n.) A chest filled with explosive materials, to be laid in the way of an enemy and exploded on his approach.
Caisson;(n.) A water-tight box, of timber or iron within which work is carried on in building foundations or structures below the water level.
Caisson;(n.) A hollow floating box, usually of iron, which serves to close the entrances of docks and basins.
Caisson;(n.) A structure, usually with an air chamber, placed beneath a vessel to lift or float it.
Caisson;(n.) A sunk panel of ceilings or soffits.
Caitiff;(a.) Captive
Caitiff;(a.) Base
Caitiff;(n.) A captive
Caitiff;(n.) A wretched or unfortunate man.
Caitiff;(n.) A mean, despicable person; one whose character meanness and wickedness meet.
Cajeput;(n.) See Cajuput.
Cajoled;(imp. & p. p.) of Cajole
Cajoling;(p. pr. & vb. n.) of Cajole
Cajole;(v. i.) To deceive with flattery or fair words
Cajolement;(n.) The act of cajoling
Cajoler;(n.) A flatterer
Cajoleries;(pl. ) of Cajolery
Cajolery;(n.) A wheedling to delude
Cajuput;(n.) A highly stimulating volatile inflammable oil, distilled from the leaves of an East Indian tree (Melaleuca cajuputi, etc.) It is greenish in color and has a camphoraceous odor and pungent taste.
Cajuputene;(n.) A colorless or greenish oil extracted from cajuput.
Cake;(n.) A small mass of dough baked; especially, a thin loaf from unleavened dough; as, an oatmeal cake; johnnycake.
Cake;(n.) A sweetened composition of flour and other ingredients, leavened or unleavened, baked in a loaf or mass of any size or shape.
Cake;(n.) A thin wafer-shaped mass of fried batter
Cake;(n.) A mass of matter concreted, congealed, or molded into a solid mass of any form, esp. into a form rather flat than high; as, a cake of soap; an ague cake.
Cake;(v. i.) To form into a cake, or mass.
Caked;(imp. & p. p.) of Cake
Caking;(p. pr. & vb. n.) of Cake
Cake;(v. i.) To concrete or consolidate into a hard mass, as dough in an oven; to coagulate.
Cake;(v. i.) To cackle as a goose.
Cakingcoal;() See Coal.
Cal;(n.) Wolfram, an ore of tungsten.
Calabar;(n.) A district on the west coast of Africa.
Calabarine;(n.) An alkaloid resembling physostigmine and occurring with it in the calabar bean.
Calabash;(n.) The common gourd (plant or fruit).
Calabash;(n.) The fruit of the calabash tree.
Calabash;(n.) A water dipper, bottle, bascket, or other utensil, made from the dry shell of a calabash or gourd.
Calaboose;(n.) A prison
Calade;(n.) A slope or declivity in a manege ground down which a horse is made to gallop, to give suppleness to his haunches.
Caladium;(n.) A genus of aroideous plants, of which some species are cultivated for their immense leaves (which are often curiously blotched with white and red), and others (in Polynesia) for food.
Calaite;(n.) A mineral. See Turquoise.
Calamanco;(n.) A glossy woolen stuff, plain, striped, or checked.
Calamanderwood;() A valuable furniture wood from India and Ceylon, of a hazel-brown color, with black stripes, very hard in texture. It is a species of ebony, and is obtained from the Diospyros quaesita. Called also Coromandel wood.
Calamar;(n.) Alt. of Calamary
Calamary;(n.) A cephalopod, belonging to the genus Loligo and related genera. There are many species. They have a sack of inklike fluid which they discharge from the siphon tube, when pursued or alarmed, in order to confuse their enemies. Their shell is a thin horny plate, within the flesh of the back, shaped very much like a quill pen. In America they are called squids. See Squid.
Calambac;(n.) A fragrant wood
Calambour;(n.) A species of agalloch, or aloes wood, of a dusky or mottled color, of a light, friable texture, and less fragrant than calambac; -- used by cabinetmakers.
Calamiferous;(a.) Producing reeds
Calamine;(n.) A mineral, the hydrous silicate of zinc.
Calamint;(n.) A genus of perennial plants (Calamintha) of the Mint family, esp. the C. Nepeta and C. Acinos, which are called also basil thyme.
Calamist;(n.) One who plays upon a reed or pipe.
Calamistrate;(v. i.) To curl or friz, as the hair.
Calamistration;(n.) The act or process of curling the hair.
Calamistrum;(n.) A comblike structure on the metatarsus of the hind legs of certain spiders (Ciniflonidae), used to curl certain fibers in the construction of their webs.
Calamite;(n.) A fossil plant of the coal formation, having the general form of plants of the modern Equiseta (the Horsetail or Scouring Rush family) but sometimes attaining the height of trees, and having the stem more or less woody within. See Acrogen, and Asterophyllite.
Calamitous;(a.) Suffering calamity
Calamitous;(a.) Producing, or attended with distress and misery; making wretched; wretched; unhappy.
Calamities;(pl. ) of Calamity
Calamity;(n.) Any great misfortune or cause of misery; -- generally applied to events or disasters which produce extensive evil, either to communities or individuals.
Calamity;(n.) A state or time of distress or misfortune
Calami;(pl. ) of Calamus
Calamus;(n.) The indian cane, a plant of the Palm family. It furnishes the common rattan. See Rattan, and Dragon's blood.
Calamus;(n.) A species of Acorus (A. calamus), commonly called calamus, or sweet flag. The root has a pungent, aromatic taste, and is used in medicine as a stomachic; the leaves have an aromatic odor, and were formerly used instead of rushes to strew on floors.
Calamus;(n.) The horny basal portion of a feather
Calando;(a.) Gradually diminishing in rapidity and loudness.
Calash;(n.) A light carriage with low wheels, having a top or hood that can be raised or lowered, seats for inside, a separate seat for the driver, and often a movable front, so that it can be used as either an open or a close carriage.
Calash;(n.) In Canada, a two-wheeled, one-seated vehicle, with a calash top, and the driver's seat elevated in front.
Calash;(n.) A hood or top of a carriage which can be thrown back at pleasure.
Calash;(n.) A hood, formerly worn by ladies, which could be drawn forward or thrown back like the top of a carriage.
Calaverite;(n.) A bronze-yellow massive mineral with metallic luster
